avg_price,created_at,fees,qty,side,simple_name,symbol,type
175.8199,"22nd Oct 2020, 1:52:37 pm",0,2.843819,buy,Vanguard Total Stock Market ETF,VTI,market
77.74,"29th Oct 2020, 1:33:40 pm",0,6.431695,buy,iShares Dow Jones US Real Estate ETF,IYR,market
175.3289,"29th Oct 2020, 1:36:47 pm",0,2.851783,buy,SPDR Gold Trust,GLD,market
168.88,"29th Oct 2020, 1:36:53 pm",0,2.960682,buy,Vanguard Total Stock Market ETF,VTI,market
122.8488,"29th Oct 2020, 1:37:30 pm",0,4.070044,buy,Nasdaq,NDAQ,market
179.56,"5th Nov 2020, 1:37:21 pm",0,2.784585,buy,Vanguard Total Stock Market ETF,VTI,market
180.44,"12th Nov 2020, 1:33:15 pm",0,2.771004,buy,Vanguard Total Stock Market ETF,VTI,market
83.785,"12th Nov 2020, 1:34:27 pm",0,5.967655,buy,iShares Dow Jones US Real Estate ETF,IYR,market
175.995,"12th Nov 2020, 1:35:23 pm",0,2.84099,buy,SPDR Gold Trust,GLD,market
127.1168,"12th Nov 2020, 1:56:31 pm",0,3.93339,buy,Nasdaq,NDAQ,market
93.6818,"19th Nov 2020, 1:02:21 pm",0,11,buy,Moderna,MRNA,market
35.97,"19th Nov 2020, 1:02:42 pm",0,30,buy,Pfizer,PFE,market
183.5699,"19th Nov 2020, 2:17:16 pm",0,2.723758,buy,Vanguard Total Stock Market ETF,VTI,market
84.685,"27th Nov 2020, 12:22:47 pm",0,5.904233,buy,iShares Dow Jones US Real Estate ETF,IYR,market
167.495,"27th Nov 2020, 12:23:31 pm",0,2.985164,buy,SPDR Gold Trust,GLD,market
127.01,"27th Nov 2020, 12:23:37 pm",0,3.936698,buy,Nasdaq,NDAQ,market
187.78,"27th Nov 2020, 12:23:46 pm",0,2.66269,buy,Vanguard Total Stock Market ETF,VTI,market
158.3,"30th Nov 2020, 5:21:50 pm",0.02,4,sell,Moderna,MRNA,limit
148.3,"1st Dec 2020, 5:44:22 pm",0.02,5,sell,Moderna,MRNA,limit
189.8096,"3rd Dec 2020, 1:35:10 pm",0,2.634219,buy,Vanguard Total Stock Market ETF,VTI,market
225.92,"4th Dec 2020, 2:26:32 pm",0,3,buy,Salesforce,CRM,market
164.97,"8th Dec 2020, 12:53:29 pm",0,1,sell,Moderna,MRNA,market
172.04,"10th Dec 2020, 1:32:54 pm",0,2.906301,buy,SPDR Gold Trust,GLD,market
84.1781,"10th Dec 2020, 1:33:26 pm",0,5.939787,buy,iShares Dow Jones US Real Estate ETF,IYR,market
125.125,"10th Dec 2020, 1:33:57 pm",0,3.996004,buy,Nasdaq,NDAQ,market
190.4461,"10th Dec 2020, 1:35:25 pm",0,2.625415,buy,Vanguard Total Stock Market ETF,VTI,market
387.61,"14th Dec 2020, 10:20:52 am",0,1,buy,Zoom,ZM,market
21.8167,"14th Dec 2020, 10:21:32 am",0,30,buy,Carnival,CCL,market
215.17,"14th Dec 2020, 10:23:23 am",0,5,buy,Microsoft,MSFT,market
122.9675,"14th Dec 2020, 10:23:39 am",0,8,buy,Apple,AAPL,market
532.45,"14th Dec 2020, 10:26:04 am",0,1,buy,NVIDIA,NVDA,market
